text	bin_label
   घरों को तोड़ने का आदेश आया है, किसी को कोई फर्क़ नहीं पड़ता अमीरों के में से मकान के किसी अवैध हिस्से भी एक…	host
जब बीजेपी प्रवक्ता ने कांग्रेस प्रवक्ता को कहा हेड मिस्ट्रेस तो सुनिए कांग्रेस प्रवक्ता ने क्या जवाब दिया ्लाबोल	not
बियर ग्रिल्स के साथ खतरनाक जंगलों में दिखेंगे अक्षय कुमार, जारी किया वीडियो	not
आजम खान की बेटी पर ससूर ने किया रेप। अब quatation ये उठता है कि होने वाला बच्चा आजम खान के रियल दमाद को क्या बोलेगा।	host
कांग्रेस मूल की कंगना रनौत बिहार चुनाव में भाजपा का प्रचार करेंगी	host
होम आइसोलेशन में रहने वाले लोग थर्मामीटर तथा पल्स ऑक्सीमीटर साथ रखें। यदि किसी को खांसी या बुखार आये अथवा सांस फूले तो तत्काल हेल्पलाइन नं. अथवा पर सम्पर्क करे ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी	not
पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी	not
IPL छोड़ेंगे  अधिकारी ने दिया अपडेट	not
चेकिंग के बहाने उगाही करने वाले गिरफ्तार, शातिर बदमाशों को पुलिस ने किया गिरफ्तार, स्कूटी, तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस ने किया गिरफ्तार।	not
जापान के नोबल पुरस्कार जीतने वाले ओर साल तक चीन में काम करने वाले प्रोफेसर ासुकूहोंजो का दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।	host
दिल्ली में हिंदुओं और सिक्खों की सामूहिक हत्याएं करने के लिए आतंकवादी जेहादी घी के डिब्बे में अवैध हथियार सप्लाई करते हुए धर दबोचे गए।	host
कुत्ते में भी एकता होती है विचारों में विरोध होती लेकिन फिर भी उसे में एकता होती है पत्रकार में नहीं आज तक न्यूज़ चैनल पर आशुतोष सर को गौरव भाटिया बोला दोनों कान पर थप्पड़ मारूंगा वहां बैठा पत्रकार रोहित सरदाना सुनती रही मुझे बहुत दुख हुई	host
प्रणब मुखर्जी ने प्रार्थियों से जुड़ी दया याचिकाओं को खारिज कर दिया. प्रणब से पहले राष्ट्रपति रहीं प्रतिभा पाटिल ने सबसे ज्यादा लोगों को फांसी के फंदे से बचाया था. प्रणब ने सिर्फ सात की फांसी की सजा माफ की.	not
लद्दाख के करीब चीन ने फिर से तैनात किए अपने J20 लड़ाकू विमान, लगातार भर रहे हैं उड़ान	not
हा बे कटे लैंड की पैदाइस हलाला की ओलाद तुम्हे ये नही मालूम तेरा अबु कौन है और तेरी खाला जान चुदाईखाना को नहीं पता कि तेरा अबु मौलवी साहब है, चचा है ,भाई जान है या पड़ोस वाला अब्दुल,फारुख, रहिस चचा भी तेरे अबु जान हो सकते है।साला सुवर तेरी ...	host
गृह मंत्री अमित शाह को बोन कैंसर से जूझ रहे हैं	host
ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है। किसी का भाड़े का टट्टू होगा, विरोध करने के , पा जा रहा होगा बस तभी।	host
राहुल गांधी  Maa मैं अगले साल क्या करूंगा  सोनिया गांधी  बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.	host
CCTV में रिकॉर्ड हुई चोर की चोरी, ढेर सारे सोने के सिक्के बरामद किए गए	not
टीवी पर आने से पहले इतनी तैयारी करता है ये गरीब आदमी	host
अब यह असंभव ही लग रहा है कि कोई ऐसा बंदा जो रिटायर हो चुका है और अब कोई क्रिकेट नहीं खेलेगा, वो CSK के लिए वापस आएगा. शायद, हो सकता है कि वह ऑक्शन में दोबारा जाएं और कोई दूसरी टीम उन्हें खरीद ले	not
नई राष्ट्रीय शिक्षा नीति तीन भाषा नीति को तमिलनाडु सरकार ने किया खारिज, कहा दो भाषा पर ही होगा अमल	not
भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी राहुल गांधी	not
योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो जी।	host
 मोदी जी के मोर के साथ वाले फोटो पर राहुल गाँधी का करारा जवाब 	host
शांतिप्रिय द्वारा मोहम्मद पैगंबर पर आपत्तिजनक टिप्पणी के लिए बैंगलोर में उपद्रव और हमारे यहाँ ीरखान जो नियमित रूप से हिंदू देवीदेवताओं को गाली दे रही थी। Although Prayagaj remained peaceful..	host
जेईई पहली पाली की परीक्षा खत्म, बाहर निकले स्टूडेंट्स ने कहा कोरोना को लेकर डर था, लेकिन खुशी इस बात की है कि हमारा एक साल बचा	not
जब दुनिया भर के विकसित देश बेहाल हो गए। इस दौरान प्रदेश ने जिस तरह डटकर इस मुश्किल वक्त का सामना किया वह सराहनीय है। योगी जी के पिता का स्वर्गवास भी हो गया लेकिन वह प्रदेश की जनता के प्रति अपनी प्रतिबद्घता दिखाते हुए लगातार जनता की सेवा में लगे रहे	host
प्रदेश अध्यक्ष जी की अध्यक्षता में आज भोपाल जोन के पदाधिकारियों की बैठक आयोजित हुई जिसमें सितंबर से शुरू होने वाले ऑक्सीजन जांच अभियान के संबंध में प्रशिक्षण दिया गया व ऑक्सीमीटर वितरित किये गये।	not
स्टीफन बेगुन ने भारत अमरीका सामरिक और साझेदारी मंच की ओर से वर्चुअल माध्यम से आयोजित तीसरे भारतअमरीका नेतृत्व शिखर सम्मेलन में यह बात कही।	not
क्या इंसानियत मर चुकी है 	not
बधाई हो मोदी जी आपकी मन की बात को पूरे हज़ार डिसलाइक मिल चुके हैं 	not
केजरीवाल संघ शाखा की पैदाइश है संघ शाखा जिस तरह आतंक फैलती है झूठ फैलाती है उसी से इसने बचपन से शिक्षा दीक्षा ली है इसने तो प्लाज्मा डोनेट करके कोरोना परसेंट ठीक कर रही थी यह सब भ्रष्टाचार के जरिए अधिकारी बना है ज्ञान नहीं इसके पास	host
ग्राम गांजा की जांच सीबीआई कर रही है उसकी रिपोर्ट पूरी मीडिया कर रही है सो डेढ़ सौ ग्राम गांजा तो बिहार के मुख्यमंत्री नीतीश कुमार के बंगला के छापा मारने पर मिल जाएगी कहां ग्राम के पीछे पड़े	host
क्या बात बोल दी शर्मा जी। 	not
सुशांत सिंह राजपूत की संदिग्ध मौत का राज खोलने के लिए दिल्ली से गई CBI की स्पेशल  टीम सुशांत के घर पर क्राइम सीन का रिक्रिएशन करेगी.	not
सीपी सुजीत पांडेय करेंगे प्रेस कॉन्फ्रेंस, जरूरी मुद्दो पर होगी प्रेस कॉन्फ्रेंस, बजे पुलिस लाइन में होगी प्रेस कॉनफ्रेंस।	not
तस्वीर बाबरी हॉस्पिटल का ब्लू प्रिंट दिखाती है	host
आम्रपाली की परियोजनाओं की सूची ऑनलाइन, इसके निवेशक या खरीदार अपना नाम यहां ढूंढें via	not
अमेरिका तक को रास्ता दिखाने वाले दिल्ली मॉडल की प्लाज़्मा थेरेपी ने दिल्ली में सैंकड़ों लोगों की जान बचाई है। इंसानियत और भाईचारे का संदेश देती परमजीत जी की ये कहानी आपको ज़रूर प्रेरित करेगी।	not
हाल ही में एक हिन्दू महिला को एक कश्मीरी मुस्लिम लड़की को सहरी खिलाने पर आरएसएस के गुंडों ने पीटा भारत आरएसएस के कब्जे में है उनका मीडिया, लॉ एनफोर्समेंट, जुडिशरी और राष्ट्रिय सुरक्षा पर पूरा नियंत्रण है क्या यह देश स्थिर रहेगा यदि ऐसा ही चलता रहा तो	host
देश की एकता, अखंडता और सम्प्रभुता की रक्षा के लिए निरस्त किया गया अनुच्छेद  उप राष्ट्रपति विवरण 	not
में हुई ोड़फोड़ के बाद ्ल्स हॉस्टल में िखरा हुआ ामान ्य हैं यहां की स्टूडेंट। बहुत दुख हुआ इन लोगों की बुक्स देखकर सब फट गई है।	host
Sudeep Birthday इंजीनियरिंग की पढ़ाई के बाद एक्टिंग की दुनिया में आए किच्चा सुदीप, जानिए और भी कई रोचक बातें	not
 रिया के खिलाफ बड़े सबूत  पर ट्वीट कर दें अपनी राय Watch LIVE 	not
आज एक बैंक्वेट हॉल में हमने बेड का कोरोना सेंटर शुरू किया। हर बेड पर ऑक्सिजन है। अब इस तरह से पूरी दिल्ली में कई बैंक्वेट हॉल में करोना सेंटर बनाए जाएँगे।	not
हिंदुस्तान में  जज भ्रष्ट जस्टिस काटजू हिंदुस्तान में पूरी व्यवस्था भ्रष्ट और नष्ट हो चुकी है क्रांति की जरूरत जस्टिस काटजू न्यायालय से न्याय की उम्मीद मूर्ख लोग करते हैं जस्टिस काटजू भारत के संतरी से लेकर मंत्री तक भ्रष्ट जस्टिस काटजू देश में क्रांति की जरूरत	host
ये साला टिकट ब्लैकिया इतनी हिम्मत लाता कहाँ से है	host
   कंगना का सपोर्ट करने वाली मीडिया से उम्मीद है कि जब झुग्गियों को तोड़ने के लिए JCB आएगी तब उसका भी विरोध करेगी…	host
कर्नाटक BJP के C.M के मंच से ही जब गुरु जी ने CAA का विरोध किया तो CM साहब भड़क उठे  ऐसी बे इज्जती आपने कभी नही देखी होगी दलाल मीडिया के चाटूकार पत्रकारो ने एक बार भी नही चलाया करो तो ज़रा फेमस गुरू जी को	host
बिहार में चुनावी मुद्दा बना सुशांत सिंह राजपूत की मौत, BJP ने दिया नारा,  न भूले हैं, ना भूलने देंगे की रिपोर्ट	not
बेंगलुरु में कोरोना से ठीक हो चुकी मरीज़ को दोबारा संक्रमण का संदेह	not
 सार्वजनिक स्थानों थूकने से ोविड19 का संक्रमण फैलता है। सार्वजनिक स्थानों पर थूकना दण्डनीय अपराध है। Via	not
इस तस्वीर में जो आलीशान सोहफे और विश्वस्तरीय इंटीरियर डिजाइन हैं यह किसी का ड्राइंग रूम नहीं है यह देश के प्रधानमंत्री के लिए खरीदा गया बोइंग वीवीआइपी एयरक्राफ्ट है ,इसकी सज धज और शानो शौकत से आप अंदाजा लगा सकते हैं अपने आप को जनता का सेवक और चौकीदार कहने वाला कितना विलासिता पूर्ण जीवन जीने का आदी हो चुका है।और यह विश्वस्तरीय सुविधाओं से लैस एयरक्राफ्ट अगस्त या सितंबर माह में भारत आ जाएगा बस फिर मोदी जी के विदेश दौरे चालू। ऐसी तमाम आधुनिक सुविधा व्यवस्थाओं से लैस ऐसे बोइंग वीवीआइपी एयरक्राफ्ट खरीदे जा रहे हैं जिनकी कीमत लगभग करोड़ रूपया है भारतीयों तुम जिओ फकीरी में और चौकीदार जियेगा शानोशौकत में यह सत्य है प्रधानमंत्री बनने से पहले कितना घड़ियाल की आंसू बहाया था मोदी साहब ने पूरा राष्ट्र को झूठे सपनों में भर्मित करवाया था साहब ने अब देखो हकीकत क्या था किस लिए गुमराह कर रहा था,, लाख की सूट पहन खुद को फकीर बताता है जापान का खाना और पीना उपयोग करने वाले खुद को भिखारी बताता है जागोभारत जागो।।	host
IPL से पहले प्राइवेट बीच पर मजे ले रहे हैं के खिलाड़ी	not
छात्रा वीं क्लास में पढ़ती थी, प्रैक्टिकल परीक्षा देने के लिए स्कूल गई हुई थी, परीक्षा देकर स्कूल से लौट ही रही थी, तभी स्कूल के बाहर घात लगाए बैठे एक मुसलमान युवक ने जिसकी उम्र लगभग से साल बताई जा रही है, तेजी से तलवार लेकर आया, और छात्रा के गर्दन पर वार कर दिया।मुस्लिम युवक ने तलवार से वार कर हिंदू लडकी पूजा,पुत्री शंकर लाल कोतमा अनूपगढ मध्य प्रदेश की हत्या इसलिये कर दी क्योंकि उसने उसके तथाकथित लव जेहादी प्यार को नकार दिया था ,हम हिंदू इस देश मे कितने लाचार हैं। ऒर कितने सुरक्षित हैं इन जेहादियो के आगे । खून खोलता है मेरा ऐसे मै	host
कंगना राणावत ने मुम्बई की तुलना POK से की है, क्या अब उनके खिलाफ देशद्रोही का मुकदमा दर्ज होगा  क्या कंगना जेल जायेंगी  या फिर जाति और धर्म के हिसाब से उन्हें बख्श दिया जायेगा 	host
क्या चालू वित्त वर्ष की पहली तिमाही में जीडीपी के खराब आंकड़ों के लिए कोरोना आपदा जिम्मेदार है	not
होटल मैनेजर की आत्महत्या का मामला, पत्नी,साली समेत लोगों पर केस दर्ज, जहर खाते समय बनाया था वीडियो, पत्नीपरिजनों को बताया मौत का जिम्मेदार, सिविल लाइन थाने में दर्ज हुआ है केस।	not
यदि दुकान की दूरी किमी तक है तो पैदल जाना होगा।	host
भारत सरकार खेतों में यूरिया के उपयोग पर प्रतिबंध लगाने जा रही है। खेती में अब यूरिया का उपयोग बंद करेगी सरकार	host
कितना भी चीख ले महेश भट्ट तेरे कुकर्मो की सज़ा तेरी बेटी को मिलनी ही है तू जितना चीखेगा  सुशांत के चाहने वालों को उतना सुकून मिलेगा , अभी ट्रेलर पे ये हाल है तो सोच फ़िल्म के रिलीज पर क्या होगा   SSR वालों 	host
   उद्धव ठाकरे की BMC सेना का POK में घुसकर धमाका आतँकवादी संगठनों के कई बंकर तबाह किए संघी आतंकवादियों समेत पूरे लश्करएनोए…	host
इस वक्त की बड़ी ख़बरें	not
हमारे पुर्खो ने साल तक राज किया ये कहते हुए Abdul पंचेर बना ने चला गया 	host
कांग्रेसी चमचे  राहुल गांधी हर मुद्दे पर मोदी जी से हार क्यों जाते हैं  शाम पित्रोदा  हुआ तो हुआ 	host
कोरोना के बढ़ते मामले और दूसरी ओर त्यौहार, सुरक्षा को लेकर क्या है आपकी सोच	not
चंद्रयान मिशन सक्सेस होने ही वाला था कि मोदी जी ने वहां जाकर डिस्टर्ब कर दिया था जिसके कारण वैज्ञानिकों के महीनों की मेहनत बेकार हो गई थी	host
न भक्ति न श्रद्धा न ज्ञान  ईवेन्ट,मैनेजमेन्ट और अपना बखान  चप्पल जूते पहन कर कौन जाता है मंदिरों में जी	host
पब्जी गेम पर जितना जल्द हो सरकार करवाई करें यह बच्चे को जिंदगी से खिलवाड़ हो रही है पब्जी को बैन. करो आने वाली पीढ़ी को जिंदा रहने दो	host
ने से अधिक स्टेशनों का सौरकरण किया स्टेशनों, जो निष्पादन के अधीन हैं, के लिए मेगावाट सोलर रूफटाप क्षमता के लिए आर्डर दिए गए	not
कश्मीर में तो नहीं है अभी वीडियो की तस्वीर से तो ऐसे ही लग रही है थोड़ा कष्ट करके लदाख पहुंच जाइए जानकारी पूरी मिल जाएगी आंखों देखी हाल पता चल जाएगी गद्दारों की असली तस्वीर देखने को मिल जाएगी	host
हर जान है कीमती। के ऑक्सीमित्र कर रहे हैं सभी की ऑक्सीजन जांच।	not
दिल्ली के मुख्यमंत्री जी के प्रति दीवानगी ऐसी की आज भारत और पाकिस्तान के विश्व कप मैच में लगे नारे, जीतेगा भाई जीतेगा केजरीवाल जीतेगा ...	host
आईटी मंत्री रविशंकर प्रसाद ने मार्क जकरबर्ग को पत्र लिखा, कहा  फेसबुक के कर्मचारी PM मोदी के प्रति अपशब्द कहते हैं	not
कोराना दौर में प्लेसमेंट ऑफ़र वापस ले रही हैं कंपनियाँ, छात्र परेशान	not
   पिछले वर्षों ने यह सिद्ध कर दिया कि कांग्रेस कोई राजनैतिक दल नही.... एक छुपा हुआ इस्लामिक संगठन है....	host
कँगना की दीवार गिराना लोकतंत्र पर हमला हैं... अरे कु७त्तो गुजरात में गरीबो के घर के आगे दीवार बना कर कौन सा लोकतंत्र सुरक्षित हुआ था ।।	host
कफ़ील खान के मामले में हाई कोर्ट का फ़ैसला योगी सरकार के अन्यायी चेहरे को बेनक़ाब करता है ध्यान से पढ़ो योगी जी, हाई कोर्ट ने कहा “कफ़ील खान का भाषण राष्ट्रीय एकता और अखंडता की अपील करता है” और योगी जी ने कफ़ील को राष्ट्रद्रोही घोषित कर दिया “शर्मनाक”	not
बिहार के पहले एक्सप्रेस वे के निर्माण का रास्ता हुआ साफ, औरंगाबाद से जयनगर तक बनेगी फोरलेन सड़क	not
देश में संक्रमण के ग्राफ में सबसे ऊपर महाराष्ट्र, IMA ने कहा लोगों में डर और हॉस्पिटल, दवा, टेस्टिंग व ऑक्सीजन की कमी से समस्या	not
यह एक संक्रामक बीमारी है, जो किसी को भी हो सकती है, इसलिए सावधान, सतर्क रहकर हमें अपना बचाव करना है। संक्रमण से बचाव के तरीकों को हम और मजबूती से अपनाएं ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी	not
   आज एक इलेक्ट्रिक की दूकान में गया और बोला एक राहुल दे दो उसने तुरन्त एक ट्यूबलाइट दे दिया,आजकल प्रचार होते देर नही लगती…	host
इस तस्वीर ने छू लिया आनंद महिंद्रा का दिल, उन्होंने नितिन गडकरी से की खास गुजारिश via	not
मैं किसानो की बात करता हूँ और बहुत सी चीज़ें कही जा सकती हैं... ठहरिये भइआ बोलने दीजिये	host
नहीं भूलेंगे भाई, मैं मोदी का कट्टर समर्थक हुआ करता था, लेकिन इन दिनों साला इतना दिमाग घूम गया है कि बस मोदी के नाम से ही नफरत होने लग गई, मां कसम	host
उन्नाव रेप कांड के दोषी भाजपा विधायक कुलदीप सिंह सेंगर को हाई कोर्ट से मिली जमानत। अब सवाल यह उठता है कि जिस जज ने जमानत दिया है, अगर पीड़िता उसी जज की बेटी होती, तो भी वह जज जमानत दे देता क्या लानत है ऐसे जजों पर। वह जज नहीं बल्कि जज के भेष में छुपा हुआ भेड़िया है।	host
कृपया सूचनार्थ एवं आवश्यक कार्यवाही हेतु।	not
धर्म परिवर्तन करके शादी या निकाह से जुड़े मामले की जांच एसआईटी करेगी।	not
उप राष्ट्रपति ने के निधन पर गहरा दुख व्यक्त करते हुए कहा, उन्होंने उस हर पद की गरिमा और शिष्टता के साथ शोभा बढ़ाई जिस पर वह रहे। उनकी मृत्यु के साथ भारत ने एक बेहतरीन नेता खो दिया है	not
यह राहुल ईश्वर कमीना कब से rightist से leftists हो गया लगता है रवी श्रीवास्तव ओर सुमन्त रामन का असर आ गया है 	host
सिवनी में फसल खराब होने पर केजरीवाल सरकार की तर्ज पर AAP ने की हजार रुपये प्रति हेक्टेयर मुआवजा देने की मांग।	not
अब यूपीबिहार के लोगों को दिल्ली से भी भगा देना चाहिए रमेश बिधूड़ी भाजपा सांसद रमेश बिधुरी ने कहा अब यूपीबिहार के लोगों को दिल्ली से भी भगा देना चाहिए	host
यह वीडियो हाल ही में दुर्घटनाग्रस्त हुए इथियोपियन एयरलाइंस का है। बूम ने पाया कि वायरल वीडियो से है और अफ़ग़ानिस्तान में दुर्घटनाग्रस्त दुबई के एक कार्गो मालवाहक विमान को दिखाता है, ना कि इथियोपियाई यात्री विमान को जो हाल ही में क्रैश हुआ था। इस विमान में सवार सभी यात्रियों की मौत हो गई थी। हाल ही में हुए इथियोपियन एयरलाइंस के क्रैश का वीडियो	host
सुशांत को न्याय प्रायोजित इंटरव्यू से नहीं पर ट्वीट कर दें अपनी राय LIVE	not
भाईजान का बेटा है.... नाले के पानी से फल धोकर स्वच्छ पानी की बचत कर रहा है । हिन्दुओं, नवरात्र के उपवास में इस महान राष्ट्रभक्त पर्यावरणप्रेमी से ही फल खरीदना । जय मातादी 	host
   एक एंकर आकर कहता है कि एक विशेष समुदाय यूपीएससी में घुसपैठ कर रहा है क्या इससे ज़्यादा घातक कोई बात हो सकती है  ऐसे…	host
मैं निजीकरण के साथ हूं... क्योंकि भारत में  Govt. कर्मचारी काम न करने की सैलरी लेते हैं ,और काम करने की रिश्वत लेते हैं 	host
मेहुल चौकसी और राणा कपूर ने को पैसे दिए जिन्नेश शाह ने भी फाउंडेशन को लाख रुपये दिए भाजपा FULL PRESS CONFERENCE	not
महाभारत युग में पांडवों ने बिहार के इस जगह बनाया था सुरंग, आज वहां स्थानीय लोग करते हैं खेती	not
 शौर्य का अभिनंदन  पीएम मोदी आज तमिलनाडु दौरे पर  प्रदेश बीजेपी में बागियों की वापसी 	not
माननीय राज्यसभा सांसद श्री रंजन गोगोई जी को कोरोना संक्रमित होने का समाचार प्राप्त हुआ। मैं, विश्व विधाता भगवान श्रीराम से उनके स्वास्थ्य लाभ की प्रार्थना करती हूँ।	host
घंटे में दूसरी बार, संक्रमण हज़ार के पार	not
शांतिपूर्ण प्रोटेस्ट, सच में बोल दो ये भी दिल्ली पुलिस का ही करा धरा है।	host
NEETJEE परीक्षाओं के दौरान स्टूडेंट्स की सुविधा के लिए मुंबई में अतिरिक्त लोकल ट्रेनें चलेंगीं	not
पीएम मोदी ने ये तस्वीर शेयर करते हुए प्रणब मुखर्जी को दी श्रद्धांजलि... खबर	not
देश के विभिन्न राज्यों में का ऑक्सीमित्र अभियान जारी...	not
दिल्ली के लोधी रोड़ श्मशान में राजकीय सम्मान के साथ पंचतत्व में विलीन हुए पूर्व राष्ट्रपति प्रणब मुखर्जी	not
नशे में धुत, फर्जी राष्ट्रवादी, केजरीवाल किसी काम के नहीं। भविष्य में मतदान करते समय सावधान रहें, दिल्ली दिल्ली के मुख्यमंत्री अरविंद केजरीवाल को फेसबुक लाइव वीडियो रिकॉर्ड करने के दौरान नशे में धुत और लड़खड़ा कर बोले हुए दिखाए जाने वाला वीडियो फर्जी है।	host
से जुड़े छह आरोपियों ने की एक अदालत के सामने अपना गुनाह कबूल कर लिया।	not
और हुए लॉन्च, फोटोग्राफी के लिए रियर में मिलेगा कैमरों का सेटअप	not
बॉलीवुड एक्ट्रेस कंगना रनौत को केंद्रीय गृह मंत्रालय ने दी Y कैटेगरी की सुरक्षा	not
जिला मत्स्य विभाग द्वारा सितंबर बुधवार को सुबह साढ़े बजे भट्टू खंड के गांव ठुईयां में खारे पानी में सफेद झींगा मछली पालन पर एक दिवसीय सेमिनार का आयोजन किया जाएगा। कार्यक्रम के मुख्यातिथि उपायुक्त डॉ. नरहरि सिंह बांगड़ होंगे।	not
मन की बात रेडियो ऐड्रेस में कहा की एक करोड़ कोविड19 मरीज़ों का मुफ़्त इलाज किया जा चूका है 	host
बिहार समान काम, समान वेतन की मांग को लेकर प्रदर्शन कर रहे गेस्ट प्रोफेसरों पर पुलिस ने किया लाठीचार्ज की रिपोर्ट	not
बांद्रा में जामा मस्जिद के बाहर इतनी बड़ी संख्या में लोगों का इकट्ठा चिंता की बात है. इन्हें किसने बुलाया अगर ये लोग घर वापस जाने के लिए ट्रेन पकड़ने के लिए आए थे तो उनके हाथों में सामान क्यों नहीं था	host
बिहार में विधानसभा चुनाव के दिन नजदीक आने के साथ ही रांची के रिम्स और केली बंगले में भी हलचल बढ़ने लगी है. 	not
