text	multi_label
रामायण के दोहा नंबर में लिखा है जब पृथ्वी पर निंदा बढ़ जाएगी पाप बढ़ जाएंगे तब चमगादर अवतरित होंगे और चारों तरफ उनसे संबंधित बीमारी फैल जाएंगी और लोग मरेंगे और दोहा नंबर में लिखा है की एक बीमारी जिसमें नर मरेंगे उसकी सिर्फ एक दवा है प्रभु भजन दान और समाधि में रहना यानी लोकडाउन	fake
चीनी सैनिकों से पूर्वी लद्दाख में फिर झड़प, भारत ने जारी किया बयान	non-hostile
   कंगना रनौत के अवैध ऑफिस के लिए हाइकोर्ट्स के पास टाइम ही टाइम है लेकिन संजीव भट्ट , डॉ कफील , उमर खालिद पर होने वाली तानाशाही…	defamation
एक महिला को स्वास्थ्य कर्मचारियों के साथ रूखे अंदाज़ से पेश आते हुए दिखाया गया है। ये स्वास्थ्य कर्मचारी घरघर पोलियो वैक्सीन प्रशासन अभियान पर थे।	fake
नागरिकता संशोधन विधेयक के विरोध में जिन पार्टियों के वोट राज्यसभा में पड़े हैं, कांग्रेस, तृणमूल कांग्रेस और आप जैसी ये पार्टियां पाकिस्तान, बांग्लादेश और अफगानिस्तान के हिन्दू, जैन, सिख, ईसाई, पारसी आदि शरणार्थियों को भारतीय नागरिकता देने के खिलाफ हैं। 	hate
सुशांत केस मॉरीशस में यौन शोषण के आरोपों पर संदीप सिंह की सफाई, साझा किया पुलिस का लेटर	non-hostile
स्वास्थ्य विभाग के मुताबिक, एक्यूट इन्सेफलाइटिस सिंड्रोम से इस वर्ष गोरखपुर में अब तक हुई हैं छह मौतें	non-hostile
देश में कोरोना संक्रमितों की संख्या लाख के पार, पिछले घंटे में नए मामले	non-hostile
प्रधानमंत्री श्री पीएम स्वनिधि योजना से लाभान्वित हितग्राहियो से सितंबर को सुबह 30 बजे सीधे बात करेंगे। इस कार्यक्रम से आप भी जुड़ सकते हैं। जुड़ने के लिए क्लिक करें और स्वयं को तुरंत रेजिस्टर करें।	non-hostile
 रामनगर की मशहूर रामलीला पर Corona का साया Ganga Prime	non-hostile
टेक्नॉलॉजी के उपयोग और इंटीग्रेशन से शिक्षण प्रक्रिया में सुधार को गति मिलेगी तथा बेहतर परिणाम निकलेंगे। इसके लिए नेशनल एजुकेशनल टेक्नॉलॉजी फोरम – एन.ई.टी.एफ़. की स्थापना की जाएगी। एन.ई.टी.एफ़. द्वारा राज्य सरकार की एजेंसियों को भी परामर्श उपलब्ध कराया जाएगा।	non-hostile
द होल थिंग इज डैट कि भइया सबसे बड़ा रुपैया आज का कार्टून by	non-hostile
‘होटल रवांडा’ Paul Rusesabagina की ज़िंदगी से इंस्पायर्ड थी. पॉल ने इस जनसंहार के वक्त करीब लोगों की जानें बचाई थीं. उस रियल लाइफ हीरो को अब रवांडा सरकार ने आतंकी बताकर गिरफ्तार कर लिया है.	non-hostile
तस्वीर दावा करती है की पूर्वप्रधानमंत्री मनमोहन सिंह सोनिया गाँधी के पैर छू रहे हैं यह थे हमारे पूर्व प्रधान मंत्री कम से कम इनकी उम्र का तो लिहाज़ कर लिया होता	fake
ये कमीना बातें बड़ी बड़ी करता है मगर हरकत सड़क छाप भिखमंगे की है	hate,offensive
दिग्विजय सिंह ने फिर उठाया EVM का मुद्दा, कहा ...तो में होगा आखिरी चुनाव	non-hostile
हर जान है कीमती, इसलिए कार्यकर्ता ऑक्सीजन जांच अभियान चलाकर खत्म कर रहे हैं लोगों के मन से कोरोना महामारी का डर।	non-hostile
ये हिंदू धर्म को बदनाम करने वाले इंसानियत और मानवता के कातिल हैं योगी राज में गुंडागर्दी चरम पर है भाजपा का नारा “सबका साथ सबका विकास” नही “गुंडों का साथ गुंडों का विकास” है।	non-hostile
बॉलीवुड में हो सकता है अनुराग जैसे और भी गंदे व कमीनी लोग हो इन लोगों की भी जांच हो और बॉलीवुड में से ऐसी गंदी गटर साफ हो अरे शर्म करो बॉलीवुड क्याक्या करते हैं बॉलीवुड में धिक्कार है ऐसे लोगों पर	hate,offensive
समय पर मोटर इंश्योरेंस रीन्यू नहीं कराने से होते हैं ये बड़े नुकसान via	non-hostile
SSS Phase VIII भर्ती  आवेदन शुल्क जमा कराने के लिए अभ्यर्थियों को एक और मौका	non-hostile
आगरा में घंटे में भर्ती हुए कोरोना मरीजों की मृत्यु हो गई। यूपी सरकार के लिए कितनी शर्म की बात है कि इसी मॉडल का झूठा प्रचार करके सच दबाने की कोशिश की गई। सरकार की नो टेस्टनो कोरोना पॉलिसी पर सवाल उठे थे लेकिन सरकार ने जवाब नहीं दिया।	fake
यूएस ओपन में भारत को कामयाबी सुमित नागल पहली बार दूसरे राउंड तक पहुंचे, अमेरिका के ब्रेडली क्लान को हराया अगला मैच वर्ल्ड नंबर3 डोमिनिक थिएम से	non-hostile
शंघाई सहयोग संगठन एससीओ की एक महत्वपूर्ण बैठक में भाग लेने के लिए मास्को रवाना हो रहे रक्षा मंत्री राजनाथ सिंह चीनी समकक्ष से मुलाकात नहीं करेंगे	non-hostile
कोई भी System, उतना ही Effective और Inclusive हो सकता है, जितना बेहतर उसका गवर्नेंस मॉडल होता है। यही सोच Education से जुड़ी गवर्नेंस को लेकर भी ये पॉलिसी रिफ्लेक्ट करती है PM	non-hostile
गलवान घाटी भारत की हाथ से गई मेरी बात को आप लिख लीजिए फिंगर फॉर से फिंगर तक भारत के हाथ से गई	hate
पीएनबी ब्रांच में काम करने वाले सभी कर्मचारी कोरोना पॉजिटिव आए हैं	fake
शेयर बाजार में अंकों का उछाल	non-hostile
शाहीन बाग में बुर्के वालियों का फिक्स रेट है दो टाइम का खाना और ₹500 इसीलिए तो यह अपने उन छोटे बच्चों को भी ले जा रहे हैं जिनको एन आर सी का फुल फॉर्म नहीं पता नाही सीए ए का यह केवल उन छोटे बच्चों को भी ₹500 मिल जाए इसलिए लेके जा रही हैं जय हिंद जय श्री राम	hate
Covid19 सर्वे में खुलासा वैश्विक स्तर पर में से एक व्यक्ति नहीं लगवाना चाहता कोरोना का टीका via	non-hostile
दीपेश की डील वाली बात मुंबई पुलिस ने क्यों छिपाई देखिए पूछता है भारत अर्नब के साथ रिपब्लिक भारत पर 	non-hostile
IPL मैचों का शेड्यूल BCCI ने जारी किया, सितंबर को चेन्नई सुपरकिंग्स और मुंबई इंडियंस के बीच पहला मैच	non-hostile
नाना ने खाया , दादी ने खाया, पापा ने खाया, मम्मी ने खाया आओ बहना तुम भी खालो जीजू को भी यहाँ बुला लो । अमूल विज्ञापन गांधी परिवार को बना रहे हैं निशाना	fake
इस सफल परीक्षण के साथ ही रक्षा अनुसंधान और विकास संगठन ने अत्यधिक जटिल प्रौद्योगिकी क्षमता का प्रदर्शन किया है जो अगली पीढ़ी के हाइपरसोनिक व्हीकल्स के निर्माण में मददगार साबित होगी।	non-hostile
कांग्रेस नेता कमल नाथ को मिला एशिया के सबसे ईमानदार सांसद का खिताब	fake
 फिल्म अभिनेता नसीरुद्दीन शाह की तबीयत बिगड़ी, अस्पताल में भर्ती, कई दिनों से बीमार हैं.	fake
नोएडा से बीजेपी विधायक पंकज सिंह कोरोना पॉजिटिव। ट्वीट कर दी जानकारी	non-hostile
जहां ना पहुंचे राशन, वहां पहुंचे इनका भाषण।	non-hostile
सभी हरामियों जो करो कि शक्ल से भी नफरत है बुड्ढा साला चकरी में लगाकर जवान होने की एक्टिंग करता है अपनी उंगलियां गिन इंसान नहीं हो तुम लोग हैं मानो हैवान	fake,offensive
िल्ली के मुख्यमंत्री जी का दिल से धन्यवाद जिन्होंने िराड़ी विधानसभा को ंदन बना दिया। यह देखिए किस प्रकार एक पूरा परिवार ंदन की गली में बैठकर  गरमा गरम चाय और बिस्कुट का आनंद ले रहे है आर के निराला के कलम	fake
बाढ़ प्रभावित क्षेत्रों में नावें लगाई गई हैं। बाढ़ की आपदा से निपटने के लिए प्रदेश में बाढ़ शरणालयों तथा बाढ़ चौकियों की स्थापना की गई है राहत आयुक्त, श्री संजय गोयल जी	non-hostile
फोटो स्टोरी अगले बरस जल्दी आने की प्रार्थना के साथ गणपति बप्पा को दी विदाई पश्चिम बंगाल में दुनिया का सबसे बड़ा सोलर ट्री लगाया गया	non-hostile
भारत के वें राष्ट्रपति श्री प्रणब मुखर्जी, प्रशासन के मामले में अद्वितीय अनुभव रखने वाले व्यक्ति थे। उन्होंने विदेश, रक्षा, वाणिज्य और वित्त मंत्री के रूप में भी कार्य किया 	non-hostile
इस बात की भी आशंका है कि ये ऑडियो जानबूझकर लीक कराया गया हो, ताकि यह साबित किया जा सके कि सुशांत सिंह राजपूत पहले से ही डिप्रेशन में थे.	non-hostile
भाउ श्री के ब्लेक टिकिट बेचकर खुद बहुत काला पैसे कमाए हो,ओर काले दिन की बात करते शर्म नही साले सांढ़.... तू खुद लुटियन मोड़ में है....	defamation,fake,offensive
आनंद को उम्मीद, अब राष्ट्रीय पुरस्कारों के लिए शतरंज खिलाड़ियों के नाम पर होगा विचार	non-hostile
कल की घटना पर संजय सिंह को अरेस्ट करना चाहिए और कमीना को कड़ी से कड़ी सजा देना चाहिए नहीं तो इन लोगों के मन और भी बढ़ जाएगी	offensive
बंगाल संसद सत्र से दूर रह सकते हैं तृणमूल के साल के अधिक उम्र के सांसद	non-hostile
अस्सलामु अलैकुम प्यारे भाइयों क्या हाल चल है यह एक वीडियो मेरे पास आयी है जो कश्मीर की है  किसी को यदि न भी पता हो न तो मैं बताता हूँ की यह वीडियो कश्मीर की है  कश्मीर में जो हो रहा है आप अपनी आँखों से देख रहे हो  रोज़ इस तरह की वीडियो हमारे पास आती हैं  हम रोज़ देखते है और दो मिनट परेशान होते हैं  इस बार हम इस वीडियो को मीडिया तक पहुचाएंगे और इमरान खान शाब तक भी जानी चाहिए 	fake
अगले हफ्ते, हर रविवार सुबह बजे सिर्फ़ मिनट के लिए हमें अपनेअपने घर की चेकिंग ज़रूर करनी है। हमें डेंगू से अपने परिवार को भी बचाना है और दिल्ली को भी। मुझे पूरा विश्वास है कि दिल्ली के लोग इस बार भी डेंगू को हराएंगे। हर रविवार, डेंगू पर वार	non-hostile
हिमा दास ने जब जीता गोल्ड।	fake
ऐसा लग रहा है जैसे खुद सरदार पटेल जी आज हरिभरी नर्मदा को देखकर खुश हो रहे हैं 	hate
रमेश चन्द्र बिढ़ान उपायुक्त, सिरसा जिला को नशा मुक्त बनाने में सहयोग के लिए आगे आएं सरपंच। गांव को नशा मुक्त बनाने वाली पंचायतें होंगी सम्मानित, विकास कार्यों के लिए दी जाएगी अलग से ग्रांट। नशा बेचने वालों पर निगरानी को महिलाओं व पुरूषों की बनाएं कमेटी।	non-hostile
इलाहाबाद हाई कोर्ट के आदेश के बाद भड़काऊ भाषण देने के आरोपी डॉ.कफील देर रात जेल से रिहा	non-hostile
मैं नीट तथा जेईई परीक्षा में प्रविष्ट होने वाले सभी अभ्यर्थियों एवं उनके अभिभावकों से अपील करता हूं कि वे भारत सरकार द्वारा जारी किए गए स्वास्थ्य दिशानिर्देशों का पालन करते हुए परीक्षा केंद्रों पर उपस्थित हों।	non-hostile
मुंबई में लगे पाकिस्तान जिंदाबाद के नारे... ठाकरे सरकार में सपा पार्टी के कोटे से मंत्री अब्बू आज़मी के सामने लगते रहे पाकिस्तान जिंदाबाद के नारे  मेरे देश में मेरे सामने अगर कोई पाकिस्तान ज़िंदाबाद के नारे लगाएगा तो पुलिस से पहले उसे मैं सबक सिखाऊंगा से कुछ लोग हर चीज को हिन्दू मुसलमान का रंग देते है मैं से आग्रह करता हूं कि मेरे बारे में पाकिस्तान ज़िंदाबाद की अफवाह फैलाने वालों को तुरंत अरेस्ट करें।	fake
मुठभेड़ के बाद दिल्ली से बब्बर खालसा के दो आतंकी गिरफ्तार किए गए  भारी मात्रा में हथियार और गोलाबारूद भी बरामद किए गए  अपडेट्स के लिए क्लिक करें	non-hostile
अगस्त को जब अयोध्या में बनने जा रहे राम मंदिर की नींव रखी जा रही थी। उस समय भारत के प्रधानमंत्री के अलावा यूके के प्रधानमंत्री बोरिस जॉनसन ने भी राम के प्रति अपनी श्रद्धा दिखाते हुए यूके में ही राम का अभिषेक किया था।	fake
साले चिढ़े हुए हैं ,,कोई दूसरा गड्ढा ना भर दें।	offensive
किसकी बात कर रही ये वही अखिलेश हैं जिनके बाप निर्दोष कारसेवकों पर गोलियां चलवाईं	hate
साले बिन पेंदी के लोटे हैं,चतुर देवी.	offensive
भारत ने कहाचीन की सेना ने , और अगस्त को उकसाने वाली कार्रवाई की	non-hostile
के पार पेट्रोल रुपया केजी के पार सब्जियां ना दाल खाने देगा न सब्जी खाने देगा ना गाड़ी चलाने देगा डेर वितना की कहानी सुने थें हगने देंगे तो मूतने नहीं देंगे वही कहानी देश की हाल हो रखी है दाल देंगे तो सब्जी नहीं सब्जी देंगे तो पेट्रोल नहीं रोजगार मांगोगे मंदिर देंगे	offensive
भारत की क्षमता को हम पहचानते हैं किरील दिमित्रीव	non-hostile
मचअवेटेड फिल्म खाली पीली की रिलीज़ डेट का ऐलान हो गया है	non-hostile
दिल्ली पुलिस के इंस्पेक्टर संजय शर्मा की कोरोना से हुई मृत्यु, वसंत कुंज स्थित एक अस्पताल में चल रहा था इलाज	non-hostile
कोरोना काल में बच्चों को पढ़ा रहे स्पीकर टीचर	non-hostile
तू जैसे कमीनी पत्रकार की वजह से आज देश मैं अमन और चैन नहीं रहा तेरे जैसे पत्रकारों की वजह से आज हमारे देश में यह दंगे फसाद सब कुछ तुम लोगों की वजह से हो रहा है कभी ना कभी तो वक्त पलट भी जाएगा तब तुझसे हिसाब लूंगा तब तक के लिए जय हिंद जय भारत	offensive
सुप्रीम कोर्ट से लाइव प	non-hostile
बहुत ही सुन्दर था वो ऐसा कहा जाता था पर पता नहीं कहा गायब हो गया भाई विकास कहा हो आप	defamation
कोविड19 वायरस ° सेल्सियस के तापमान में मर जाता है। घर पर रहने वाले लोगों को दिन में एक बार, बाहर जाने वालों को दिन में बार और डॉक्टर को हर घंटे में एक बार भाप लेने को कहा गया है। भाप लेने से नाक के भीतर का तापमान बढ़ेगा और वायरस नाक में ही मर जाएगा।	fake
विशेषज्ञ सलाह	non-hostile
ट्रम्प हमारे लोकतंत्र के लिए खतरा हैं इसके अलावा, अगर मेरा पक्ष किसी एक मुद्दे पर हार जाता है, तो मैं इस कुतिया को बंद करने की योजना बनाता हूं दंगों गृह युद्ध	hate,offensive
 बहुत लोग काम कम करते हैं प्रचार ज़्यादा बिहार के मुख्यमंत्री	non-hostile
मोर को दाना खिलाने वाले से उनकी इतनी जल रही है सोचो जिस दिन बाघ को दूध पिलाने वाला आएगा तब तो इनका धुंवा निकलेगा धुंवा	defamation
कोरोना काल में LIC ने बनाया रिकॉर्ड 20 में बेची करोड़ नई बीमा पॉलिसी	non-hostile
ग्रामीण क्षेत्र में लोगों को कानून के प्रति जागरूक करने के उद्देश्य से जिला विधिक सेवा प्राधिकरण के माध्यम से मोबाईल वैन चलाई गई है। इसे न्यायिक परिसर रेवाड़ी से जिला एवं सत्र न्यायाधीश दिनेश कुमार मित्तल ने हरी झंडी दिखाकर रवाना किया।	non-hostile
वाणिज्य और उद्योग मंत्री पीयूष गोयल ने कहा कि भारत, हिंन्दप्रशांत क्षेत्र में भरोसेमंद और सुनिश्चित सप्लाई व्यवस्था बनाने के व्यापक विचार का पूर्ण समर्थन करता है।	non-hostile
में शिक्षा विभाग में हजार पदों पर चुने गए शिक्षकों की फिलहाल नियुक्ति नहीं होगी।	non-hostile
जिस तरह की घिनौना अपराध मेरे साथ की है यदि मेरी जगह कोई और सैनिक फैमिली होती तो पूरे फैमिली आत्महत्या कर लेती साल की उम्र में सेना से बाहर कर लंगड़ा अंधा बना कर सड़क पर बिना पेंशन भीख मांगने के लिए छोड़ दिया शर्म नाम की चीज नहीं है तुम सबको	hate
इस वर्ष माह अगस्त में कोई भी मामला संज्ञान में नहीं आया है। पिछले वर्ष जुलाई माह, में मामले डायरिया के थे, इस वर्ष माह जुलाई में कोई भी मरीज नहीं है ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी	non-hostile
तबरेज़ अंसारी का जनाज़ा	fake
भारतीय सेना के जांबाज़ रणबांकुरों ने अपने अदम्य साहस और अद्दभुत वीरता से कपटी चीन की LAC के एक हिस्से पर कब्ज़ा करने की कोशिश को नाकाम किया. हम सभी देशवासी अपने रणबांकुरे सैनिकों के अदम्य साहस और अद्दभुत वीरता को सादर नमन करते हैं। िंदकीसेना	non-hostile
सुशांत मामले में लगातार ट्वीट कर रही का ये ट्वीट हुआ ज़बरदस्त वायरल, जानिए तापसी ने क्या लिखा	non-hostile
पैसा तो सारे अंबानी के झोली में डाल दीया पैसा तो अपने मित्रों को देखकर विदेश में शिफ्ट कर दिया एक हॉस्पिटल बनाने की क्षमता नहीं चुनावी जुमला चुनावी उद्घाटन करते हो बिहार के लोग उड़ती चिड़िया के पंख में सिख लगा देते हैं बेवकूफ नहीं बनेंगे	defamation,hate
फ्रांसीसी दवा कंपनी सनोफी और ब्रिटिश फार्मा कंपनी जीएसके ने प्रोटीनआधारित COVID19 वैक्सीन का क्लिनिकल ट्रायल शुरू कर दिया है	non-hostile
नई प्रयोगशालाओं से रोज जांचें मुख्यमंत्री श्री जी मुख्यमंत्री जी ने नई प्रयोगशालाओं का ऑनलाइन लोकार्पण किया	non-hostile
यह साले बॉलीवुड को अपने बाप की जागीर समझने लगे हैं	offensive
अब बेरोज़गार नौकरी की तलाश में निकलेंगे इतनी सारी नौकरिया निकाली है मोदीजी ने	defamation,offensive
ये तस्वीरें हैं उस भूमिपूजन की जो नवम्बर को हो चुका है। याने कार्तिक मास के शुक्ल पक्ष की एकादशी को, जिसे हम देवउठनी एकादशी कहते हैं। कोंग्रेस की सरकार ने भी उस समय तिथि का खयाल रखा था। तब के पण्डे आज की तरह ढोंगी नहीं थे। उन्हें सब बातों का खयाल था। माफ कीजिये सरकार, आप सिर्फ हिन्दुत्व का ढोंग करते हैं, सनातन वैदिक धर्म व उसकी परम्परा का चुटकी भर ज्ञान नहीं आपको 	defamation,fake,hate
यह जून की रात चीनी सीमा पर शहीद हुए भारतीय सेना के जवानों की लाशें हैं।	fake
सम्पादक के रूप में गांधी जी के नाम के साथ साप्ताहिक समाचार पत्र नवजीवन का पहला संस्करण वर्ष में आज के ही दिन यानी सात सितम्बर को प्रकाशित हुआ था।	non-hostile
 रिया की ड्रग्स गैंग के कितने राज़दार  पर ट्वीट कर दें अपनी राय Watch LIVE 	non-hostile
   किसकोकिसको लगता है कि राहुल गाँधी का नारा चौकीदार चोर है बिल्कुल सही था  	hate
उत्तराखंड विधानसभा मे प्रश्न काल नही CM जी Gambler फिल्म का गाना सुना था मेरी मर्ज़ी मै चाहे ये करू,मै चाहे वो करू मै चाहे यहा जाऊ,मै चाहे वहा जाऊ गोरे को मै कहू काला जीजा को मै बोलू साला नदी को मै बोलू नाला चाबी बिना खोलू ताला मेरे बारे मे कुछ कहना नही चुपचाप बैठे रहो बोलना नही	offensive
इतना दोगलापन लाते कहां से एक छोटी सी पुस्तक से इतना घबरा गये और “असहिष्णु” हो गए तुम कहो तो अभिव्यक्ति की आजादी हम कहें तो 	defamation
यह विडियो पिपलेश्वर महादेव मंदिर मोछाल  सिरोही  का है हर रोज ये चीता परिवार मन्दिर के सेवक को अपना समझ कर उनके साथ सो जाते हैं।	fake
साल से मुसलमान एक होकर वोट कर रहे थे तो सब ठीक था , साल से हिंदू एक हो कर के वोट क्या करने लगे सब का पजामा फट गया.....	hate
सुशांत सिंह राजपूत केस में सीबीआई को हत्या का नहीं मिला सबूत, अब सुसाइड एंगल से होगी जांच	non-hostile
अरे दंगाई चैनलों, भगवान के लिए अब तो ये घृणा और नफ़रत की डिबेट बन्द कर दोFolded hands	hate
कपिल सिब्बल को कोर्ट के बाहर किसी ने थप्पड़ जड़ दिया।	fake
बिहार का कोविड हॉस्पिटल स्मार्ट सिटी बिहार सरकार द्वारा शुरू किये गए हॉस्पिटल कोविड19 के दौरान  स्विमिंग पूल में इलाज 	fake
प्रगति पथ पर निरंतर अग्रसर उत्तर प्रदेश अपने विश्वस्तरीय इंफ्रास्ट्रक्चर के बल पर देश में सड़क एवं हवाई कनेक्टिविटी के क्षेत्र में सर्वश्रेष्ठ कार्य कर रहा है।	non-hostile
 LAC पर आज भारत ऊपर, चीन नीचे 	non-hostile
कारोबारी माहौल उत्तर प्रदेश दूसरे स्थान पर, दस पायदान की छलांग ‘ईज ऑफ डूइंग बिजनेस’ की रैंकिंग में उत्तर प्रदेश ने पायदान छलांग लगाकर दूसरा स्थान प्राप्त किया है।	non-hostile
बढ़िया ख़बर यूपी सरकार ने कांग्रेस की तरफ़ से भेजी गई बसों को चलाने की इजाज़त दी। ्मनाक यह कोई रेल नहीं है ोड़ीटी यह कोई जाम नहीं है ्तरप्रदेश मे ्रियंकागाँधी जी ने बस तैयार कर रखी है मजदूरो को घर पहुँचाने के लिए लेकिन योगी जी परमिशन नही दे रहे 	fake
GDP में सालों की सबसे बड़ी गिरावट, समझिए GDP क्या है और इसे मापते कैसे हैं. 	non-hostile
सितंबर को ने अपनी मंगेतर धनश्री के साथ ‘रसोड़े में कौन था’ रीमिक्स पर वीडियो पोस्ट किया. इस वीडियो पर धाकड़ बल्लेबाज क्रिस गेल ने भी कमेंट किया. उन्होंने चहल के इंस्टाग्राम अकाउंट को रिपोर्ट करने की ‘धमकी’ दे डाली.	non-hostile
